searc_city,city,country,lat,lng,temp,humidity,cloudiness,windspeed
ushuaia,Ushuaia,AR,-54.8,-68.3,50.0,53,40,20.71
oytal,Oytal,KZ,42.9057,73.2697,55.27,56,33,7.2
bengkulu,Bengkulu,ID,-3.8004,102.2655,77.02,91,99,3.87
muros,Muros,ES,42.7762,-9.0603,62.02,94,100,3.0
rock sound,Rock Sound,BS,24.9,-76.2,77.9,73,70,12.35
khani,Khani,GE,41.9563,42.9566,69.8,52,0,5.75
nanortalik,Nanortalik,GL,60.1432,-45.2371,38.43,75,36,7.11
dauphin,Dauphin,CA,51.1494,-100.0502,53.6,76,1,3.44
saint-philippe,Saint-Philippe,RE,-21.3585,55.7679,74.61,73,34,18.41
dieppe,Arrondissement de Dieppe,FR,49.75,1.1667,60.35,57,39,1.01
atuona,Atuona,PF,-9.8,-139.0333,78.82,73,19,18.3
najran,Najrān,SA,17.4924,44.1277,95.0,16,40,6.91
new norfolk,New Norfolk,AU,-42.7826,147.0587,43.29,84,99,1.99
yellowknife,Yellowknife,CA,62.456,-114.3525,28.49,80,90,12.66
torrington,Torrington,US,41.8007,-73.1212,72.21,24,99,4.0
sitka,Sitka,US,57.0531,-135.33,46.4,93,90,12.66
cockburn town,Cockburn Town,TC,21.4612,-71.1419,84.2,70,40,11.5
mildura,Mildura,AU,-34.2,142.15,51.8,58,90,5.75
martapura,Martapura,ID,-3.4167,114.85,77.0,100,20,1.14
zhuhai,Zhuhai,CN,22.2769,113.5678,84.2,84,40,17.27
airai,Airai,TL,-8.9266,125.4092,56.77,82,100,3.0
ankazobe,Ankazobe,MG,-18.3167,47.1167,60.8,88,20,8.05
punta arenas,Punta Arenas,CL,-53.15,-70.9167,46.2,93,90,11.5
szentes,Szentes,HU,46.65,20.2667,62.92,77,75,4.61
mount gambier,Mount Gambier,AU,-37.8333,140.7667,46.4,93,75,5.75
katsuura,Katsuura,JP,35.1333,140.3,63.43,88,100,11.77
andra,Andra,RU,62.5147,65.8878,58.5,80,63,10.98
walvis bay,Walvis Bay,NA,-22.9575,14.5053,69.22,64,1,19.42
kassala,Kassala,SD,15.451,36.4,98.89,11,31,7.92
faanui,Faanui,PF,-16.4833,-151.75,81.46,74,100,19.71
kruisfontein,Kruisfontein,ZA,-34.0033,24.7314,62.01,82,100,3.0
margate,Margate,GB,51.3813,1.3862,54.9,81,81,1.99
carnarvon,Carnarvon,AU,-24.8667,113.6333,66.2,68,93,5.75
busselton,Busselton,AU,-33.65,115.3333,60.26,71,99,1.99
vaini,Vaini,TO,-21.2,-175.2,75.2,100,20,6.91
adeje,Adeje,ES,28.1227,-16.726,73.47,57,20,12.66
innisfail,Innisfail,AU,-17.5333,146.0333,66.69,79,0,5.06
rikitea,Rikitea,PF,-23.1203,-134.9692,74.3,61,82,17.45
lethem,Lethem,GY,3.3803,-59.7968,85.69,61,81,10.49
kavaratti,Kavaratti,IN,10.5669,72.642,83.61,78,100,28.36
shepsi,Shepsi,RU,44.0361,39.1489,62.44,86,21,4.81
kapit,Kapit,MY,2.0167,112.9333,76.28,95,97,1.16
lengshuijiang,Lengshuijiang,CN,27.6881,111.4294,77.27,90,52,3.18
albany,Albany,US,42.6001,-73.9662,72.7,18,93,1.99
marawi,Marawi,PH,7.9986,124.2928,80.01,85,96,1.9
qaanaaq,Qaanaaq,GL,77.484,-69.3632,32.94,75,85,6.76
port hedland,Port Hedland,AU,-20.3167,118.5667,68.0,34,0,8.05
port elizabeth,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,0,9.22
bossangoa,Bossangoa,CF,6.4926,17.4552,90.68,47,54,6.02
rauma,Rauma,FI,61.1272,21.5113,57.2,72,0,11.5
tasiilaq,Tasiilaq,GL,65.6145,-37.6368,33.8,75,1,4.61
hoquiam,Hoquiam,US,46.9809,-123.8893,47.93,93,90,3.44
cove,Cové,BJ,7.221,2.3402,89.51,54,97,5.37
kysyl-syr,Kysyl-Syr,RU,63.8986,122.7617,48.52,46,97,5.35
mizdah,Mizdah,LY,31.4451,12.9801,87.08,19,0,14.88
chifeng,Chifeng,CN,42.2683,118.9636,58.86,29,100,6.87
kizukuri,Shimokizukuri,JP,40.8061,140.3861,54.0,85,95,4.21
nouadhibou,Nouadhibou,MR,20.931,-17.0347,77.0,53,78,20.71
hermanus,Hermanus,ZA,-34.4187,19.2345,57.0,94,100,15.68
puerto ayora,Puerto Ayora,EC,-0.7393,-90.3518,79.59,69,75,11.5
butaritari,Butaritari,KI,3.0707,172.7902,82.47,78,24,17.11
paez,Páez,CO,5.1011,-73.0512,75.52,69,90,5.39
dingle,Dingle,PH,10.9995,122.6711,79.03,87,92,6.6
cabo san lucas,Cabo San Lucas,MX,22.8909,-109.9124,87.76,39,20,11.5
sur,Sur,OM,22.5667,59.5289,90.21,46,75,2.73
beloha,Beloha,MG,-25.1667,45.05,72.39,65,23,6.44
hobart,Hobart,AU,-42.8794,147.3294,45.66,57,90,14.97
plouzane,Plouzané,FR,48.3833,-4.6167,57.76,72,75,19.57
cherskiy,Cherskiy,RU,68.75,161.3,31.8,81,100,5.46
barrow,Barrow,US,71.2906,-156.7887,24.8,80,90,8.05
eyl,Eyl,SO,7.9803,49.8164,86.94,63,66,20.13
fare,Fare,PF,-16.7,-151.0167,81.55,69,100,19.84
road town,Road Town,VG,18.4167,-64.6167,83.97,83,40,8.05
sabang,Sabang,ID,5.8933,95.3214,84.99,70,92,3.91
diamantino,Diamantino,BR,-14.4086,-56.4461,89.1,39,4,3.15
padang,Padang,ID,-0.9492,100.3543,79.57,89,100,4.45
victoria,Hong Kong,HK,22.2855,114.1577,82.04,81,16,3.0
nikolskoye,Nikolskoye,RU,59.7035,30.7861,62.17,46,20,8.95
ribeira brava,Ribeira Brava,PT,32.65,-17.0667,72.63,49,20,28.77
masvingo,Masvingo,ZW,-20.0637,30.8277,66.78,37,0,4.5
jalu,Jalu,LY,29.0331,21.5482,97.14,11,23,17.69
east london,East London,ZA,-33.0153,27.9116,66.2,82,0,2.3
vardo,Vardø,NO,70.3705,31.1107,34.95,87,100,17.83
goderich,Goderich,CA,43.7501,-81.7165,57.2,51,100,8.05
bredasdorp,Bredasdorp,ZA,-34.5322,20.0403,59.0,88,99,9.22
great yarmouth,Great Yarmouth,GB,52.6083,1.7305,51.26,87,75,6.91
otane,Otane,NZ,-39.8833,176.6333,52.0,75,72,1.99
port alfred,Port Alfred,ZA,-33.5906,26.891,65.35,80,52,3.51
voh,Voh,NC,-20.9667,164.7,71.6,91,86,1.86
asfi,Safi,MA,32.2994,-9.2372,75.04,56,5,27.94
castro,Castro,BR,-24.7911,-50.0119,65.41,57,69,1.81
klaksvik,Klaksvík,FO,62.2266,-6.589,44.6,81,90,11.5
banda aceh,Banda Aceh,ID,5.5577,95.3222,81.43,81,100,3.53
kashi,Kashgar,CN,39.4547,75.9797,55.4,47,20,8.95
arraial do cabo,Arraial do Cabo,BR,-22.9661,-42.0278,77.76,57,20,3.44
codrington,Codrington,AU,-38.2667,141.9667,50.14,80,100,8.43
diffa,Diffa,NE,13.3154,12.6113,106.21,6,18,13.18
hithadhoo,Hithadhoo,MV,-0.6,73.0833,83.61,68,100,17.65
riviere-au-renard,Riviere-au-Renard,CA,48.9957,-64.3971,57.2,44,75,12.66
roma,Rome,US,43.2128,-75.4557,68.29,32,1,6.15
hilo,Hilo,US,19.7297,-155.09,66.9,64,40,5.75
bethel,Bethel,US,41.3712,-73.414,73.94,22,1,8.05
dikson,Dikson,RU,73.5069,80.5464,23.38,77,99,9.71
sarkand,Sarkand,KZ,45.41,79.9186,51.42,65,95,5.64
hasaki,Hasaki,JP,35.7333,140.8333,61.92,88,20,4.61
hope,Hope,US,33.6671,-93.5916,74.89,54,59,3.0
cap malheureux,Cap Malheureux,MU,-19.9842,57.6142,77.0,72,11,3.0
paramonga,Paramonga,PE,-10.6667,-77.8333,69.04,74,19,8.48
tuktoyaktuk,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,80,75,12.66
umkomaas,eMkhomazi,ZA,-30.2067,30.7978,66.99,59,2,2.44
canon city,Cañon City,US,38.441,-105.2424,64.83,52,1,3.44
uberlandia,Uberlândia,BR,-18.9186,-48.2772,78.8,41,40,6.91
avarua,Avarua,CK,-21.2078,-159.775,71.6,94,100,1.14
tiksi,Tiksi,RU,71.6872,128.8694,31.93,88,100,4.56
parintins,Parintins,BR,-2.6283,-56.7358,88.07,61,97,3.58
lavrentiya,Lavrentiya,RU,65.5833,-171.0,28.69,85,18,6.22
pacific grove,Pacific Grove,US,36.6177,-121.9166,51.67,82,95,6.91
kaitangata,Kaitangata,NZ,-46.2817,169.8464,42.01,76,100,1.01
